Character;Sentence;Sentence_tokenized;Sentence_lemmatized;Sentence_cleared
Ron;They were starving him, Mum. ;['they', 'were', 'starving', 'him', 'mum'];['they', 'were', 'starving', 'him', 'mum'];['starving', 'mum']
Ron;There were bars on his window!;['there', 'were', 'bars', 'on', 'his', 'window'];['there', 'were', 'bar', 'on', 'his', 'window'];['bar', 'window']
Mrs. Weasley;Well, you'd best hope that I don't put bars on your window, Ronald Weasley!  ;['well', 'you', 'best', 'hope', 'that', 'i', 'do', 'put', 'bars', 'on', 'your', 'window', 'ronald', 'weasley'];['well', 'you', 'best', 'hope', 'that', 'i', 'do', 'put', 'bar', 'on', 'your', 'window', 'ronald', 'weasley'];['well', 'best', 'hope', 'put', 'bar', 'window', 'ronald', 'weasley']
Mrs. Weasley;Come on Harry, time for a spot of breakfast.;['come', 'on', 'harry', 'time', 'for', 'a', 'spot', 'of', 'breakfast'];['come', 'on', 'harry', 'time', 'for', 'a', 'spot', 'of', 'breakfast'];['harry', 'time', 'spot', 'breakfast']
Mrs. Weasley;Here we are Harry. ;['here', 'we', 'are', 'harry'];['here', 'we', 'are', 'harry'];['harry']
Mrs. Weasley;Now tuck in! That's it. There we go.;['now', 'tuck', 'in', 'that', 'it', 'there', 'we', 'go'];['now', 'tuck', 'in', 'that', 'it', 'there', 'we', 'go'];['tuck']
Ginny;Mum- Mummy, have you seen my jumper?;['mummy', 'have', 'you', 'seen', 'my', 'jumper'];['mummy', 'have', 'you', 'seen', 'my', 'jumper'];['mummy', 'seen', 'jumper']
Mrs. Weasley;Yes dear. It was on the cat.;['yes', 'dear', 'it', 'was', 'on', 'the', 'cat'];['yes', 'dear', 'it', 'wa', 'on', 'the', 'cat'];['dear', 'cat']
Harry;Hello. W-what did I do?;['hello', 'did', 'i', 'do'];['hello', 'did', 'i', 'do'];['hello']
Ron;Ginny. She's been talking about you all summer.;['ginny', 'she', 'been', 'talking', 'about', 'you', 'all', 'summer'];['ginny', 'she', 'been', 'talking', 'about', 'you', 'all', 'summer'];['ginny', 'talking', 'summer']
Ron; A bit annoying really.;['a', 'bit', 'annoying', 'really'];['a', 'bit', 'annoying', 'really'];['bit', 'annoying', 'really']
Mr. Weasley;Morning, Weasleys.;['morning', 'weasleys'];['morning', 'weasleys'];['morning', 'weasleys']
Fred, George, Ron;Morning, Dad.;['morning', 'dad'];['morning', 'dad'];['morning', 'dad']
Mrs. Weasley;Morning Arthur!;['morning', 'arthur'];['morning', 'arthur'];['morning', 'arthur']
Mr. Weasley;What a night. Nine raids. Nine!;['what', 'a', 'night', 'nine', 'raids', 'nine'];['what', 'a', 'night', 'nine', 'raid', 'nine'];['night', 'nine', 'raid', 'nine']
Harry;Raids?;['raids'];['raid'];['raid']
Ron;Dad works in the Ministry of Magic, in the Misuse of Muggle Artifacts Office. ;['dad', 'works', 'in', 'the', 'ministry', 'of', 'magic', 'in', 'the', 'misuse', 'of', 'muggle', 'artifacts', 'office'];['dad', 'work', 'in', 'the', 'ministry', 'of', 'magic', 'in', 'the', 'misuse', 'of', 'muggle', 'artifact', 'office'];['dad', 'work', 'ministry', 'magic', 'misuse', 'muggle', 'artifact', 'office']
Ron;Dad loves Muggles, thinks they're fascinating.;['dad', 'loves', 'muggles', 'thinks', 'they', 'fascinating'];['dad', 'love', 'muggles', 'think', 'they', 'fascinating'];['dad', 'love', 'muggles', 'think', 'fascinating']
Mr. Weasley;Well now. Aah! And who are you?;['well', 'now', 'aah', 'and', 'who', 'are', 'you'];['well', 'now', 'aah', 'and', 'who', 'are', 'you'];['well', 'aah']
Harry;Oh, sorry sir. I'm Harry, sir, Harry Potter.;['oh', 'sorry', 'sir', 'i', 'harry', 'sir', 'harry', 'potter'];['oh', 'sorry', 'sir', 'i', 'harry', 'sir', 'harry', 'potter'];['oh', 'sorry', 'sir', 'harry', 'sir', 'harry', 'potter']
Mr. Weasley;Good Lord! Are you really? ;['good', 'lord', 'are', 'you', 'really'];['good', 'lord', 'are', 'you', 'really'];['good', 'lord', 'really']
Mr. Weasley;Well, Ron's told us all about you, of course.;['well', 'ron', 'told', 'us', 'all', 'about', 'you', 'of', 'course'];['well', 'ron', 'told', 'u', 'all', 'about', 'you', 'of', 'course'];['well', 'ron', 'told', 'u', 'course']
Mr. Weasley;When did he get here?;['when', 'did', 'he', 'get', 'here'];['when', 'did', 'he', 'get', 'here'];[]
Mrs. Weasley;This morning. Your sons flew that enchanted car of yours to Surrey and back last night.;['this', 'morning', 'your', 'sons', 'flew', 'that', 'enchanted', 'car', 'of', 'yours', 'to', 'surrey', 'and', 'back', 'last', 'night'];['this', 'morning', 'your', 'son', 'flew', 'that', 'enchanted', 'car', 'of', 'yours', 'to', 'surrey', 'and', 'back', 'last', 'night'];['morning', 'son', 'flew', 'enchanted', 'car', 'surrey', 'back', 'last', 'night']
Mr. Weasley;Did you really? How'd it go? Did you?;['did', 'you', 'really', 'how', 'it', 'go', 'did', 'you'];['did', 'you', 'really', 'how', 'it', 'go', 'did', 'you'];['really']
Fred, George, Ron, Harry;Oh, it...;['oh', 'it'];['oh', 'it'];['oh']
Mrs. Weasley;Arthur!;['arthur'];['arthur'];['arthur']
Mr. Weasley;I mean...that was very wrong, indeed, boys. ;['i', 'mean', 'that', 'was', 'very', 'wrong', 'indeed', 'boys'];['i', 'mean', 'that', 'wa', 'very', 'wrong', 'indeed', 'boy'];['mean', 'wrong', 'indeed', 'boy']
Mr. Weasley;Very wrong of you;['very', 'wrong', 'of', 'you'];['very', 'wrong', 'of', 'you'];['wrong']
Mr. Weasley;Now, Harry, you must know all about Muggles. ;['now', 'harry', 'you', 'must', 'know', 'all', 'about', 'muggles'];['now', 'harry', 'you', 'must', 'know', 'all', 'about', 'muggles'];['harry', 'must', 'muggles']
Mr. Weasley;Tell me, what exactly is the function of a rubber duck?;['tell', 'me', 'what', 'exactly', 'is', 'the', 'function', 'of', 'a', 'rubber', 'duck'];['tell', 'me', 'what', 'exactly', 'is', 'the', 'function', 'of', 'a', 'rubber', 'duck'];['tell', 'exactly', 'function', 'rubber', 'duck']
Harry;Oh, umm...;['oh', 'umm'];['oh', 'umm'];['oh', 'umm']
Mrs. Weasley;Well, that'll be Errol with the post. ;['well', 'that', 'be', 'errol', 'with', 'the', 'post'];['well', 'that', 'be', 'errol', 'with', 'the', 'post'];['well', 'errol', 'post']
Mrs. Weasley;Oh, fetch it will you Percy, please?;['oh', 'fetch', 'it', 'will', 'you', 'percy', 'please'];['oh', 'fetch', 'it', 'will', 'you', 'percy', 'please'];['oh', 'fetch', 'percy', 'please']
Percy;Errol...;['errol'];['errol'];['errol']
Ron;He's always doing that.;['he', 'always', 'doing', 'that'];['he', 'always', 'doing', 'that'];['always']
Percy;Oh look, it's our Hogwarts letters. ;['oh', 'look', 'it', 'our', 'hogwarts', 'letters'];['oh', 'look', 'it', 'our', 'hogwarts', 'letter'];['oh', 'look', 'hogwarts', 'letter']
Percy;And they've sent us Harry's as well.;['and', 'they', 'sent', 'us', 'harry', 'as', 'well'];['and', 'they', 'sent', 'u', 'harry', 'a', 'well'];['sent', 'u', 'harry', 'well']
Mr. Weasley;Dumbledore must know you're here, Harry. ;['dumbledore', 'must', 'know', 'you', 'here', 'harry'];['dumbledore', 'must', 'know', 'you', 'here', 'harry'];['dumbledore', 'must', 'harry']
Mr. Weasley;Doesn't miss a trick, that man.;['does', 'miss', 'a', 'trick', 'that', 'man'];['doe', 'miss', 'a', 'trick', 'that', 'man'];['doe', 'miss', 'trick', 'man']
Mrs. Weasley;Oh, no.;['oh', 'no'];['oh', 'no'];['oh']
Fred;This lot won't come cheap, Mum. ;['this', 'lot', 'wo', 'come', 'cheap', 'mum'];['this', 'lot', 'wo', 'come', 'cheap', 'mum'];['lot', 'wo', 'cheap', 'mum']
Fred;The spell books alone are very expensive.;['the', 'spell', 'books', 'alone', 'are', 'very', 'expensive'];['the', 'spell', 'book', 'alone', 'are', 'very', 'expensive'];['spell', 'book', 'alone', 'expensive']
Mrs. Weasley;We'll manage. ;['we', 'manage'];['we', 'manage'];['manage']
Mrs. Weasley;There's only one place we're going to get all of this.;['there', 'only', 'one', 'place', 'we', 'going', 'to', 'get', 'all', 'of', 'this'];['there', 'only', 'one', 'place', 'we', 'going', 'to', 'get', 'all', 'of', 'this'];['one', 'place', 'going']
Mrs. Weasley;Diagon Alley.;['diagon', 'alley'];['diagon', 'alley'];['diagon', 'alley']
Mrs. Weasley;Right.;['right'];['right'];['right']
Mrs. Weasley;Here we are, Harry.;['here', 'we', 'are', 'harry'];['here', 'we', 'are', 'harry'];['harry']
Mrs. Weasley;You go first, dear.;['you', 'go', 'first', 'dear'];['you', 'go', 'first', 'dear'];['first', 'dear']
Ron;But Harry's never traveled by Floo powder before, Mum.;['but', 'harry', 'never', 'traveled', 'by', 'floo', 'powder', 'before', 'mum'];['but', 'harry', 'never', 'traveled', 'by', 'floo', 'powder', 'before', 'mum'];['harry', 'never', 'traveled', 'floo', 'powder', 'mum']
Harry;Floo powder?;['floo', 'powder'];['floo', 'powder'];['floo', 'powder']
Mrs. Weasley;You go first, Ron, so that Harry can see how it's done. Yes.;['you', 'go', 'first', 'ron', 'so', 'that', 'harry', 'can', 'see', 'how', 'it', 'done', 'yes'];['you', 'go', 'first', 'ron', 'so', 'that', 'harry', 'can', 'see', 'how', 'it', 'done', 'yes'];['first', 'ron', 'harry', 'done']
Mrs. Weasley;In you go.;['in', 'you', 'go'];['in', 'you', 'go'];[]
Mrs. Weasley;That's it.;['that', 'it'];['that', 'it'];[]
Ron;Diagon Alley.;['diagon', 'alley'];['diagon', 'alley'];['diagon', 'alley']
Mrs. Weasley;You see? It's quite easy, dear.;['you', 'see', 'it', 'quite', 'easy', 'dear'];['you', 'see', 'it', 'quite', 'easy', 'dear'];['quite', 'easy', 'dear']
Mrs. Weasley;Don't be afraid. Come on.;['do', 'be', 'afraid', 'come', 'on'];['do', 'be', 'afraid', 'come', 'on'];['afraid']
Mrs. Weasley;Come on.;['come', 'on'];['come', 'on'];[]
Mrs. Weasley;In you go. That's it.;['in', 'you', 'go', 'that', 'it'];['in', 'you', 'go', 'that', 'it'];[]
Mrs. Weasley;Mind your head.;['mind', 'your', 'head'];['mind', 'your', 'head'];['mind', 'head']
Mrs. Weasley;That's right.;['that', 'right'];['that', 'right'];['right']
Mrs. Weasley;Now, take your Floo powder.;['now', 'take', 'your', 'floo', 'powder'];['now', 'take', 'your', 'floo', 'powder'];['take', 'floo', 'powder']
Mrs. Weasley;That's it, very good.;['that', 'it', 'very', 'good'];['that', 'it', 'very', 'good'];['good']
Mrs. Weasley;Now, don't forget to speak very, very clearly.;['now', 'do', 'forget', 'to', 'speak', 'very', 'very', 'clearly'];['now', 'do', 'forget', 'to', 'speak', 'very', 'very', 'clearly'];['forget', 'speak', 'clearly']
Harry;Diagonally.;['diagonally'];['diagonally'];['diagonally']
Mrs. Weasley;What did he say, dear?;['what', 'did', 'he', 'say', 'dear'];['what', 'did', 'he', 'say', 'dear'];['say', 'dear']
Mr. Weasley;Diagonally.;['diagonally'];['diagonally'];['diagonally']
Mrs. Weasley;I thought he did.;['i', 'thought', 'he', 'did'];['i', 'thought', 'he', 'did'];['thought']
Mr. Borgin;Mr. Malfoy! What a pleasure to see you again. ;['malfoy', 'what', 'a', 'pleasure', 'to', 'see', 'you', 'again'];['malfoy', 'what', 'a', 'pleasure', 'to', 'see', 'you', 'again'];['malfoy', 'pleasure']
Mr. Borgin;If I may, just in today --;['if', 'i', 'may', 'just', 'in', 'today'];['if', 'i', 'may', 'just', 'in', 'today'];['may', 'today']
Lucius Malfoy;I'm not buying today, Mr. Borgin.;['i', 'not', 'buying', 'today', 'borgin'];['i', 'not', 'buying', 'today', 'borgin'];['buying', 'today', 'borgin']
Lucius Malfoy;But selling.;['but', 'selling'];['but', 'selling'];['selling']
Mr. Borgin; Selling?;['selling'];['selling'];['selling']
Lucius Malfoy;You have heard, of course, that the Ministry of Magic is conducting more raids. ;['you', 'have', 'heard', 'of', 'course', 'that', 'the', 'ministry', 'of', 'magic', 'is', 'conducting', 'more', 'raids'];['you', 'have', 'heard', 'of', 'course', 'that', 'the', 'ministry', 'of', 'magic', 'is', 'conducting', 'more', 'raid'];['heard', 'course', 'ministry', 'magic', 'conducting', 'raid']
Lucius Malfoy;There are even rumors of a new Muggle Protection Act...;['there', 'are', 'even', 'rumors', 'of', 'a', 'new', 'muggle', 'protection', 'act'];['there', 'are', 'even', 'rumor', 'of', 'a', 'new', 'muggle', 'protection', 'act'];['even', 'rumor', 'new', 'muggle', 'protection', 'act']
Lucius Malfoy;I have a few... ah... items at home that might prove embarrassing if the Ministry were to call.;['i', 'have', 'a', 'few', 'ah', 'items', 'at', 'home', 'that', 'might', 'prove', 'embarrassing', 'if', 'the', 'ministry', 'were', 'to', 'call'];['i', 'have', 'a', 'few', 'ah', 'item', 'at', 'home', 'that', 'might', 'prove', 'embarrassing', 'if', 'the', 'ministry', 'were', 'to', 'call'];['ah', 'item', 'home', 'might', 'prove', 'embarrassing', 'ministry', 'call']
Lucius Malfoy;Certain poisons and the like...;['certain', 'poisons', 'and', 'the', 'like'];['certain', 'poison', 'and', 'the', 'like'];['certain', 'poison', 'like']
Mr. Borgin;Hmmm... yes. I see...;['hmmm', 'yes', 'i', 'see'];['hmmm', 'yes', 'i', 'see'];['hmmm']
Draco;Can I have this?;['can', 'i', 'have', 'this'];['can', 'i', 'have', 'this'];[]
Mr. Borgin;Ah, the Hand of Glory. ;['ah', 'the', 'hand', 'of', 'glory'];['ah', 'the', 'hand', 'of', 'glory'];['ah', 'hand', 'glory']
Mr. Borgin;Insert a candle and it gives light only to the holder. ;['insert', 'a', 'candle', 'and', 'it', 'gives', 'light', 'only', 'to', 'the', 'holder'];['insert', 'a', 'candle', 'and', 'it', 'give', 'light', 'only', 'to', 'the', 'holder'];['insert', 'candle', 'give', 'light', 'holder']
Mr. Borgin;Best friend of thieves and plunderers. ;['best', 'friend', 'of', 'thieves', 'and', 'plunderers'];['best', 'friend', 'of', 'thief', 'and', 'plunderer'];['best', 'friend', 'thief', 'plunderer']
Mr. Borgin;Your son has fine taste, sir.;['your', 'son', 'has', 'fine', 'taste', 'sir'];['your', 'son', 'ha', 'fine', 'taste', 'sir'];['son', 'fine', 'taste', 'sir']
Lucius Malfoy; Hopefully my son will amount to more than a thief, Mr. Borgin.;['hopefully', 'my', 'son', 'will', 'amount', 'to', 'more', 'than', 'a', 'thief', 'borgin'];['hopefully', 'my', 'son', 'will', 'amount', 'to', 'more', 'than', 'a', 'thief', 'borgin'];['hopefully', 'son', 'amount', 'thief', 'borgin']
Lucius Malfoy;Though if his marks don't pick up --;['though', 'if', 'his', 'marks', 'do', 'pick', 'up'];['though', 'if', 'his', 'mark', 'do', 'pick', 'up'];['though', 'mark', 'pick']
Draco; It's not my fault the teachers have favorites. ;['it', 'not', 'my', 'fault', 'the', 'teachers', 'have', 'favorites'];['it', 'not', 'my', 'fault', 'the', 'teacher', 'have', 'favorite'];['fault', 'teacher', 'favorite']
Draco;That Hermione Granger --;['that', 'hermione', 'granger'];['that', 'hermione', 'granger'];['hermione', 'granger']
Lucius Malfoy;I would have thought you'd be ashamed that a girl of no wizarding family beat you in every exam.;['i', 'would', 'have', 'thought', 'you', 'be', 'ashamed', 'that', 'a', 'girl', 'of', 'no', 'wizarding', 'family', 'beat', 'you', 'in', 'every', 'exam'];['i', 'would', 'have', 'thought', 'you', 'be', 'ashamed', 'that', 'a', 'girl', 'of', 'no', 'wizarding', 'family', 'beat', 'you', 'in', 'every', 'exam'];['would', 'thought', 'ashamed', 'girl', 'wizarding', 'family', 'beat', 'every', 'exam']
Mr. Borgin;It's the same all over. ;['it', 'the', 'same', 'all', 'over'];['it', 'the', 'same', 'all', 'over'];[]
Mr. Borgin;Wizard blood is counting for less everywhere.;['wizard', 'blood', 'is', 'counting', 'for', 'less', 'everywhere'];['wizard', 'blood', 'is', 'counting', 'for', 'le', 'everywhere'];['wizard', 'blood', 'counting', 'le', 'everywhere']
Lucius Malfoy;Not with me.;['not', 'with', 'me'];['not', 'with', 'me'];[]
Lucius Malfoy;Very good. ;['very', 'good'];['very', 'good'];['good']
Lucius Malfoy;I'll expect you at the manor tomorrow. ;['i', 'expect', 'you', 'at', 'the', 'manor', 'tomorrow'];['i', 'expect', 'you', 'at', 'the', 'manor', 'tomorrow'];['expect', 'manor', 'tomorrow']
Lucius Malfoy;Come, Draco.;['come', 'draco'];['come', 'draco'];['draco']
Witch;Not lost, are you, my dear?;['not', 'lost', 'are', 'you', 'my', 'dear'];['not', 'lost', 'are', 'you', 'my', 'dear'];['lost', 'dear']
Harry;I'm fine, thank you. I was just going...;['i', 'fine', 'thank', 'you', 'i', 'was', 'just', 'going'];['i', 'fine', 'thank', 'you', 'i', 'wa', 'just', 'going'];['fine', 'thank', 'going']
Witch;Come with us. ;['come', 'with', 'us'];['come', 'with', 'u'];['u']
Witch;We'll help you find your way back.;['we', 'help', 'you', 'find', 'your', 'way', 'back'];['we', 'help', 'you', 'find', 'your', 'way', 'back'];['help', 'find', 'way', 'back']
Harry; No. Please...;['no', 'please'];['no', 'please'];['please']
Hagrid; Harry?;['harry'];['harry'];['harry']
Harry;Hagrid!;['hagrid'];['hagrid'];['hagrid']
Hagrid;What do you think you're doing down here? Come on.;['what', 'do', 'you', 'think', 'you', 'doing', 'down', 'here', 'come', 'on'];['what', 'do', 'you', 'think', 'you', 'doing', 'down', 'here', 'come', 'on'];['think']
Hagrid;You're a mess, Harry. ;['you', 'a', 'mess', 'harry'];['you', 'a', 'mess', 'harry'];['mess', 'harry']
Hagrid;Skulking around Knockturn Alley? ;['skulking', 'around', 'knockturn', 'alley'];['skulking', 'around', 'knockturn', 'alley'];['skulking', 'around', 'knockturn', 'alley']
Hagrid;Dodgy place.;['dodgy', 'place'];['dodgy', 'place'];['dodgy', 'place']
Hagrid;Don't want no one to see you there.;['do', 'want', 'no', 'one', 'to', 'see', 'you', 'there'];['do', 'want', 'no', 'one', 'to', 'see', 'you', 'there'];['want', 'one']
Hagrid;People will think you're up to no good.;['people', 'will', 'think', 'you', 'up', 'to', 'no', 'good'];['people', 'will', 'think', 'you', 'up', 'to', 'no', 'good'];['people', 'think', 'good']
Harry;I was lost, I...;['i', 'was', 'lost', 'i'];['i', 'wa', 'lost', 'i'];['lost']
Harry;Hang on.;['hang', 'on'];['hang', 'on'];['hang']
Harry;What were you doing down there then?;['what', 'were', 'you', 'doing', 'down', 'there', 'then'];['what', 'were', 'you', 'doing', 'down', 'there', 'then'];[]
Hagrid;Me? I was... ;['me', 'i', 'was'];['me', 'i', 'wa'];[]
Hagrid;I was looking for Flesh-Eating Slug Repellent.;['i', 'was', 'looking', 'for', 'slug', 'repellent'];['i', 'wa', 'looking', 'for', 'slug', 'repellent'];['looking', 'slug', 'repellent']
Hagrid;They're ruining all the school cabbages.;['they', 'ruining', 'all', 'the', 'school', 'cabbages'];['they', 'ruining', 'all', 'the', 'school', 'cabbage'];['ruining', 'school', 'cabbage']
Hermione;Harry. Hagrid.;['harry', 'hagrid'];['harry', 'hagrid'];['harry', 'hagrid']
Hagrid;Hello, Hermione.;['hello', 'hermione'];['hello', 'hermione'];['hello', 'hermione']
Hermione;It's so good to see you.;['it', 'so', 'good', 'to', 'see', 'you'];['it', 'so', 'good', 'to', 'see', 'you'];['good']
Harry;It's great to see you too.;['it', 'great', 'to', 'see', 'you', 'too'];['it', 'great', 'to', 'see', 'you', 'too'];['great']
Hermione;What did you do to your glasses?;['what', 'did', 'you', 'do', 'to', 'your', 'glasses'];['what', 'did', 'you', 'do', 'to', 'your', 'glass'];['glass']
Hermione;Oculus Reparo.;['oculus', 'reparo'];['oculus', 'reparo'];['oculus', 'reparo']
Harry;I definitely need to remember that one.;['i', 'definitely', 'need', 'to', 'remember', 'that', 'one'];['i', 'definitely', 'need', 'to', 'remember', 'that', 'one'];['definitely', 'need', 'remember', 'one']
Hagrid;You'll be all right now then, Harry?;['you', 'be', 'all', 'right', 'now', 'then', 'harry'];['you', 'be', 'all', 'right', 'now', 'then', 'harry'];['right', 'harry']
Hagrid;Right. I'll leave you to it.;['right', 'i', 'leave', 'you', 'to', 'it'];['right', 'i', 'leave', 'you', 'to', 'it'];['right', 'leave']
Hermione;Okay, bye.;['okay', 'bye'];['okay', 'bye'];['okay', 'bye']
Harry;Thank you. Bye.;['thank', 'you', 'bye'];['thank', 'you', 'bye'];['thank', 'bye']
Hermione;Come on, everyone's been so worried.;['come', 'on', 'everyone', 'been', 'so', 'worried'];['come', 'on', 'everyone', 'been', 'so', 'worried'];['everyone', 'worried']
Mrs. Weasley;Harry.;['harry'];['harry'];['harry']
Mrs. Weasley;Thank goodness.;['thank', 'goodness'];['thank', 'goodness'];['thank', 'goodness']
